id,nombre,apellido,email,direccion,telefono,localidad,fecha_nacimiento,fecha_ingreso,salario,perfil,nivel,anos_experiencia,ingles_avanzado,lider_equipo,teletrabajo,proyectos_completados,certificaciones,horas_capacitacion,Python_exp,Python_proyectos,Python_principal,Java_exp,Java_proyectos,Java_principal,JavaScript_exp,JavaScript_proyectos,JavaScript_principal,React_exp,React_proyectos,React_principal,Angular_exp,Angular_proyectos,Angular_principal,Vue_exp,Vue_proyectos,Vue_principal,Node.js_exp,Node.js_proyectos,Node.js_principal,MongoDB_exp,MongoDB_proyectos,MongoDB_principal,PostgreSQL_exp,PostgreSQL_proyectos,PostgreSQL_principal,MySQL_exp,MySQL_proyectos,MySQL_principal,Docker_exp,Docker_proyectos,Docker_principal,Kubernetes_exp,Kubernetes_proyectos,Kubernetes_principal,AWS_exp,AWS_proyectos,AWS_principal,Azure_exp,Azure_proyectos,Azure_principal,Git_exp,Git_proyectos,Git_principal,Jenkins_exp,Jenkins_proyectos,Jenkins_principal,TensorFlow_exp,TensorFlow_proyectos,TensorFlow_principal,PyTorch_exp,PyTorch_proyectos,PyTorch_principal,Pandas_exp,Pandas_proyectos,Pandas_principal,NumPy_exp,NumPy_proyectos,NumPy_principal,Flask_exp,Flask_proyectos,Flask_principal,Django_exp,Django_proyectos,Django_principal,Spring_exp,Spring_proyectos,Spring_principal,Hibernate_exp,Hibernate_proyectos,Hibernate_principal,TypeScript_exp,TypeScript_proyectos,TypeScript_principal,GraphQL_exp,GraphQL_proyectos,GraphQL_principal,Redis_exp,Redis_proyectos,Redis_principal,Kafka_exp,Kafka_proyectos,Kafka_principal,RabbitMQ_exp,RabbitMQ_proyectos,RabbitMQ_principal,Elasticsearch_exp,Elasticsearch_proyectos,Elasticsearch_principal,Linux_exp,Linux_proyectos,Linux_principal
11,Carina,Chacón,carina.chacón@empresa.com,"Callejón Raquel Acuña 91, Álava, 11535",+34941 577 367,Zaragoza,1979-03-27,2023-10-07,86782.34,Fullstack,SR,2,False,False,True,26,7,170,4,16,True,8,14,True,0,0,False,0,0,False,7,16,False,0,0,False,4,5,True,2,14,True,0,0,False,3,17,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,1,18,True,0,0,False,0,0,False,0,0,False,2,15,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
12,Amalia,Martínez,amalia.martínez@empresa.com,"Alameda Isabel Acedo 83, Cuenca, 17989",+34 844641807,Guipúzcoa,1999-11-15,2018-11-28,93735.83,QA,SR,6,False,False,False,14,6,84,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,5,17,False,4,9,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,2,10,True,5,11,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,9,3,True,3,8,False,0,0,False,0,0,False,3,7,True,0,0,False,0,0,False,0,0,False
13,Graciana,Garrido,graciana.garrido@empresa.com,"Calle Jaime Gutiérrez 89 Piso 9 , Almería, 30459",+34901 75 71 09,Las Palmas,1980-10-04,2017-11-10,95113.34,Diseño,JR,4,False,False,True,7,0,159,5,14,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,1,13,False,0,0,False,7,6,False,0,0,False,3,20,True,7,19,True,2,14,True,0,0,False,8,6,True,0,0,False,5,13,False,0,0,False,4,15,False,6,13,False,0,0,False,7,9,True,0,0,False,8,1,True,0,0,False,0,0,False,0,0,False,0,0,False,6,8,True,1,1,True
14,Graciela,Llamas,graciela.llamas@empresa.com,"Urbanización de Anunciación Olivares 89 Puerta 2 , Castellón, 41780",+34874 276 580,Ávila,1996-06-15,2015-10-28,48285.88,Fullstack,SSR,11,True,True,False,4,6,92,0,0,False,0,0,False,0,0,False,5,4,True,0,0,False,5,19,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,7,7,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,8,True,0,0,False,0,0,False,5,20,True,10,2,False,9,14,False,0,0,False,0,0,False,2,17,False,1,14,False,0,0,False,0,0,False
15,Inmaculada,Gual,inmaculada.gual@empresa.com,"C. Calixta Pino 313 Puerta 1 , Burgos, 39522",+34841 91 73 52,Teruel,1966-02-26,2017-04-20,106270.21,DevOps,SR,3,False,True,False,14,8,84,0,0,False,0,0,False,8,8,False,0,0,False,0,0,False,0,0,False,0,0,False,10,20,False,6,1,False,0,0,False,6,6,False,0,0,False,0,0,False,4,12,False,6,9,False,9,1,True,0,0,False,2,8,False,8,18,True,0,0,False,0,0,False,8,16,False,0,0,False,1,3,False,4,13,True,5,19,False,0,0,False,0,0,False,0,0,False,8,18,False,0,0,False
16,Isabel,Salom,isabel.salom@empresa.com,"Plaza de Primitiva Sáenz 58 Apt. 91 , Zamora, 36954",+34822 09 38 33,Zamora,1985-12-20,2016-06-30,72217.26,DevOps,SSR,5,False,True,True,19,4,120,0,0,False,0,0,False,0,0,False,4,16,False,0,0,False,10,17,False,2,7,False,0,0,False,0,0,False,0,0,False,4,12,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,5,1,True,0,0,False,0,0,False,0,0,False,0,0,False,5,2,True,9,10,True,8,4,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
17,Gerardo,Peiró,gerardo.peiró@empresa.com,"Via de Mateo Morante 1 Piso 0 , Segovia, 46146",+34827 587 868,Madrid,1963-09-03,2018-10-05,87445.71,Arquitecto,JR,1,False,False,True,10,9,158,0,0,False,0,0,False,1,5,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,10,True,0,0,False,0,0,False,4,4,False,0,0,False,0,0,False,10,20,True,0,0,False,9,13,False,8,10,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
18,Telmo,Benet,telmo.benet@empresa.com,"Pasadizo Emperatriz Marín 40, Ourense, 27917",+34916 740 761,Santa Cruz de Tenerife,1999-12-25,2020-03-03,37227.64,Frontend,JR,11,True,False,True,3,0,42,8,20,False,0,0,False,5,2,True,0,0,False,0,0,False,5,10,False,0,0,False,2,8,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,7,False,0,0,False,0,0,False,0,0,False,2,18,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,3,9,True,0,0,False
19,Zaida,Lamas,zaida.lamas@empresa.com,"Calle Nazaret Cañellas 24 Puerta 0 , Melilla, 31477",+34 879 21 46 69,Lleida,1975-12-26,2017-03-16,125115.43,Scrum Master,SSR,2,False,False,False,10,10,102,0,0,False,10,9,True,2,8,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,5,19,True,0,0,False,0,0,False,3,16,False,5,6,False,8,3,False,6,14,False,6,4,True,0,0,False,6,14,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
20,Florentina,Campoy,florentina.campoy@empresa.com,"Camino Carmela Ordóñez 88, Soria, 40286",+34841 61 27 71,Barcelona,1979-06-04,2018-07-18,127627.92,QA,JR,8,True,False,False,30,4,130,1,7,False,0,0,False,0,0,False,10,16,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,1,7,False,9,5,False,8,16,True,0,0,False,1,20,True,3,10,True,0,0,False,0,0,False,0,0,False,9,14,True,0,0,False,0,0,False,4,4,False,0,0,False,0,0,False,2,5,False,0,0,False,0,0,False,0,0,False
21,Elena,Delgado,elena.delgado@empresa.com,"Paseo Anita Andres 4, Valencia, 09241",+34 947 12 03 32,Teruel,1965-10-27,2022-01-22,114649.4,Diseño,SSR,8,True,False,True,17,7,3,0,0,False,0,0,False,5,1,False,0,0,False,5,19,False,0,0,False,3,15,False,0,0,False,6,11,False,0,0,False,8,11,True,0,0,False,0,0,False,4,19,False,0,0,False,0,0,False,4,14,True,0,0,False,0,0,False,6,16,False,0,0,False,0,0,False,0,0,False,7,5,False,0,0,False,0,0,False,0,0,False,1,5,False,0,0,False,2,15,True,0,0,False
22,Macaria,Cornejo,macaria.cornejo@empresa.com,"Cuesta de Domingo Coca 62, Granada, 43697",+34943 04 97 42,Ourense,1964-02-11,2023-03-05,116693.26,Diseño,SR,3,True,False,False,6,1,156,0,0,False,0,0,False,8,18,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,3,True,0,0,False,5,8,True,0,0,False,0,0,False,0,0,False,0,0,False,7,4,True,0,0,False,8,6,False,1,2,False,1,10,False,6,14,True,0,0,False,0,0,False,4,17,False,0,0,False,0,0,False,10,6,True,0,0,False,0,0,False
23,Nieves,Sedano,nieves.sedano@empresa.com,"Cuesta de Constanza Estevez 94, Alicante, 12371",+34806 585 854,Girona,1984-03-31,2020-06-07,134500.75,Data,SSR,15,True,True,False,5,8,93,7,9,False,0,0,False,5,7,False,0,0,False,0,0,False,8,4,True,0,0,False,0,0,False,7,19,False,10,10,False,0,0,False,1,13,False,0,0,False,0,0,False,1,19,True,0,0,False,0,0,False,10,16,False,0,0,False,0,0,False,0,0,False,4,20,False,0,0,False,4,7,False,3,4,True,5,15,True,0,0,False,10,12,True,0,0,False,2,10,False,7,6,True
24,Nicolasa,Cabañas,nicolasa.cabañas@empresa.com,"Plaza Baltasar Grau 90, Burgos, 19526",+34882 007 965,Madrid,1977-03-12,2019-04-01,93702.28,Scrum Master,JR,5,False,False,False,1,9,143,0,0,False,0,0,False,7,18,False,0,0,False,2,13,True,0,0,False,0,0,False,5,18,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,8,12,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,13,False,0,0,False,0,0,False,2,8,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
25,Alma,Sandoval,alma.sandoval@empresa.com,"Via de Rogelio Carrión 60, Asturias, 13582",+34710064449,La Rioja,1972-07-04,2022-07-03,69360.75,Data,SR,2,False,False,False,15,7,60,0,0,False,2,8,True,0,0,False,7,15,False,9,14,True,0,0,False,0,0,False,0,0,False,0,0,False,7,4,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,14,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,1,12,True,0,0,False
26,Luisina,Puerta,luisina.puerta@empresa.com,"Paseo de Áurea Salom 38 Piso 8 , Huelva, 28888",+34 878 293 318,Baleares,1977-11-07,2019-07-26,132654.02,Frontend,SR,6,False,True,False,26,3,150,0,0,False,0,0,False,10,1,True,6,8,True,0,0,False,0,0,False,10,7,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,9,7,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,4,11,True,10,1,False,0,0,False,0,0,False,0,0,False,0,0,False,3,5,False,3,4,True,0,0,False,0,0,False,3,1,False
27,Alfredo,Pomares,alfredo.pomares@empresa.com,"Callejón Gabriela Quintero 50, Madrid, 24281",+34706 48 12 59,Navarra,1990-01-24,2019-06-11,68852.58,Fullstack,SSR,1,True,False,True,20,2,16,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,2,15,True,0,0,False,0,0,False,10,2,False,8,1,True,8,13,False,0,0,False,2,16,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,2,3,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
28,Valentina,Prada,valentina.prada@empresa.com,"C. de Candelaria Ríos 93 Apt. 56 , Madrid, 02743",+34923 048 405,Murcia,1963-03-04,2019-02-11,45142.99,QA,SR,6,False,False,False,28,1,89,0,0,False,0,0,False,0,0,False,7,11,False,0,0,False,0,0,False,7,14,True,6,14,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,5,12,True,8,3,True,0,0,False,0,0,False,2,3,False,0,0,False,2,12,True,9,2,False,0,0,False,2,14,False,0,0,False,7,2,False,10,10,False,0,0,False,0,0,False,2,19,True,3,16,True,0,0,False
29,Ramona,Llamas,ramona.llamas@empresa.com,"Urbanización Jafet Dávila 27 Apt. 17 , Lugo, 31272",+34 842012159,Ávila,1964-04-03,2024-03-11,131444.81,Arquitecto,JR,13,False,True,False,25,8,29,5,10,False,0,0,False,0,0,False,0,0,False,0,0,False,6,1,True,0,0,False,0,0,False,3,19,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,2,5,True,0,0,False,2,17,True,7,14,False,6,6,False,0,0,False,5,11,True,1,5,True,0,0,False,10,2,True,5,15,False,8,20,False,7,9,True,0,0,False
30,Vera,Sosa,vera.sosa@empresa.com,"Plaza de Perla Montoya 56 Apt. 42 , Tarragona, 22013",+34923908593,Teruel,1976-09-03,2023-05-24,71420.74,Frontend,SSR,11,False,False,True,19,6,181,5,10,False,2,1,False,0,0,False,0,0,False,7,6,True,0,0,False,7,18,True,0,0,False,0,0,False,9,18,False,0,0,False,0,0,False,2,13,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,7,1,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,2,11,False,0,0,False,0,0,False,0,0,False,0,0,False
31,Arcelia,Frutos,arcelia.frutos@empresa.com,"Acceso Pelayo Tejero 16, Guadalajara, 11368",+34800 20 65 08,Cáceres,1960-03-08,2015-07-09,106817.0,Scrum Master,JR,7,True,False,True,10,7,115,0,0,False,0,0,False,5,11,True,6,6,True,0,0,False,0,0,False,0,0,False,9,4,True,0,0,False,0,0,False,0,0,False,6,12,True,4,4,True,5,7,True,10,5,True,0,0,False,3,16,False,0,0,False,10,19,False,0,0,False,10,20,False,0,0,False,6,5,False,0,0,False,0,0,False,2,16,False,5,9,True,0,0,False,0,0,False,6,17,True,0,0,False
32,Fausto,Marí,fausto.marí@empresa.com,"Acceso Angelino Olivares 304, La Coruña, 49506",+34972 01 41 67,Pontevedra,2000-01-04,2019-01-01,34512.87,Arquitecto,SSR,2,True,False,False,21,5,32,0,0,False,1,15,True,0,0,False,0,0,False,6,3,True,0,0,False,1,8,False,0,0,False,0,0,False,0,0,False,8,17,True,0,0,False,0,0,False,0,0,False,6,12,False,7,14,False,10,2,False,2,11,True,9,13,False,5,20,True,6,3,True,0,0,False,0,0,False,6,10,False,0,0,False,3,20,True,0,0,False,0,0,False,0,0,False,5,18,False,0,0,False
33,Odalys,Lamas,odalys.lamas@empresa.com,"Urbanización Ana Giralt 50, Palencia, 29751",+34 982 298 574,Salamanca,1972-08-24,2023-02-01,110413.97,QA,JR,11,False,False,True,12,10,146,0,0,False,0,0,False,0,0,False,0,0,False,2,10,True,9,18,True,6,20,True,10,13,True,0,0,False,3,6,True,8,2,False,0,0,False,0,0,False,0,0,False,0,0,False,6,8,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,10,False,0,0,False,4,18,True,0,0,False,0,0,False,0,0,False,5,16,True,0,0,False,0,0,False
34,Jose Manuel,Oliveras,jose manuel.oliveras@empresa.com,"Pasaje de Ambrosio Villalba 430 Apt. 96 , Cáceres, 35528",+34946 00 23 96,Guadalajara,1985-04-28,2021-01-27,148132.78,DevOps,SSR,13,False,False,True,13,1,95,0,0,False,6,18,True,0,0,False,0,0,False,9,4,False,0,0,False,0,0,False,0,0,False,2,6,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,8,17,True,0,0,False,0,0,False,0,0,False,7,3,True,8,12,True,0,0,False,0,0,False,0,0,False,0,0,False,7,2,False,0,0,False,9,12,True,0,0,False,0,0,False,0,0,False
35,Alonso,Tejedor,alonso.tejedor@empresa.com,"C. Soledad Chamorro 86, Huelva, 35138",+34980 087 896,La Coruña,1971-05-31,2023-01-12,56944.65,Arquitecto,JR,14,False,True,True,10,1,12,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,3,16,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,10,1,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,1,9,True,0,0,False,0,0,False,0,0,False,3,18,False,0,0,False,0,0,False,2,10,True,0,0,False
36,Sosimo,Sans,sosimo.sans@empresa.com,"Cuesta de José Manuel Alegria 81, Jaén, 18930",+34977 85 90 65,Navarra,1984-04-16,2025-01-02,58612.74,DevOps,JR,2,False,True,True,25,9,188,7,6,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,9,12,True,0,0,False,9,18,True,0,0,False,7,16,True,0,0,False,7,12,False,0,0,False,0,0,False,0,0,False,0,0,False,1,12,True,6,8,True,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
37,Laura,Girona,laura.girona@empresa.com,"Cañada Claudia Castañeda 20 Apt. 48 , Tarragona, 23381",+34820828768,Zamora,1982-03-11,2022-10-06,120801.47,Fullstack,JR,6,False,True,False,11,1,20,0,0,False,4,2,False,5,17,False,0,0,False,9,16,False,1,7,False,6,2,False,0,0,False,0,0,False,5,4,False,0,0,False,0,0,False,0,0,False,0,0,False,7,13,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,7,11,True,0,0,False,8,16,False,0,0,False,9,9,True,7,3,False,0,0,False,0,0,False,10,6,False,0,0,False,0,0,False
38,Marino,Valentín,marino.valentín@empresa.com,"Urbanización de Nayara Belda 3 Piso 6 , Las Palmas, 24462",+34 883 246 297,Las Palmas,1996-09-04,2015-09-06,69350.39,Scrum Master,SSR,8,False,True,False,11,10,71,0,0,False,2,13,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,9,6,True,0,0,False,0,0,False,3,20,False,0,0,False,1,5,True,4,12,False,0,0,False,0,0,False,0,0,False,0,0,False,7,19,True,10,5,False,0,0,False,0,0,False,6,12,False,0,0,False,0,0,False,0,0,False,2,19,True,0,0,False,9,12,False,0,0,False
39,Rufino,Barceló,rufino.barceló@empresa.com,"Vial Clarisa Lerma 86 Apt. 71 , León, 31678",+34 843 643 183,Zamora,1997-03-15,2019-11-27,59953.4,Frontend,JR,12,True,False,False,11,10,18,0,0,False,0,0,False,0,0,False,2,15,True,8,3,False,0,0,False,6,3,False,0,0,False,5,6,True,6,17,True,0,0,False,0,0,False,0,0,False,0,0,False,2,7,True,4,16,True,0,0,False,0,0,False,0,0,False,6,18,False,0,0,False,0,0,False,8,18,True,0,0,False,10,3,True,0,0,False,0,0,False,0,0,False,5,13,False,9,14,False,10,3,True
40,Anastasio,Vila,anastasio.vila@empresa.com,"Calle de Ariadna Mayol 24 Apt. 82 , Soria, 01867",+34 882289064,Ávila,1969-01-22,2023-05-20,83996.94,QA,SSR,3,True,True,False,14,7,118,0,0,False,9,10,True,0,0,False,5,7,False,3,10,True,9,6,True,0,0,False,3,20,False,0,0,False,10,2,True,2,2,False,4,19,False,0,0,False,0,0,False,0,0,False,0,0,False,10,1,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,9,10,False,0,0,False,0,0,False,0,0,False,8,8,False,5,15,True,0,0,False,1,6,False,0,0,False
